VIEW_SCHEMA,VIEW_NAME,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
GPS,Grant Activity Contact,GPS,Dim_Contact_Role,%Dim_Contact_Role_Key
GPS,Grant Activity Contact,GPS,Dim_Contact_Role,Activity Primary Contact Flag
GPS,Grant Activity Contact,GPS,Dim_Contact_Role,Position Type Desc
FUSION,Grant Activity Location Attribution,FUSION,Financial Year,Financial Year Id
FUSION,Ceasing Activity Funding,FUSION,Financial Year,Financial Year Id
NIAA,Program Tracker,FUSION,Financial Year,Financial Year Id
NIAA,Program Tracker,FUSION,Financial Year,Financial Year
FUSION,Ceasing Activity Funding,FUSION,Financial Year,Financial Year
FUSION,Grant Activity Location Attribution,FUSION,Financial Year,Financial Year
FUSION,Ceasing Activity Funding,FUSION,Financial Year,Start Date
NIAA,Program Tracker,FUSION,Financial Year,Start Date
NIAA,Program Tracker,FUSION,Financial Year,End Date
FUSION,Ceasing Activity Funding,FUSION,Financial Year,End Date
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarationofinterestid
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approvedon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approver
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approvercomment
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approverlevel
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approvername
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approveroffice
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_approverreminderon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_conflictstodeclarename
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarationapprovedname
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarationcompletename
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarationid
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarationtext
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declaredby
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declaredbyname
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declaredon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarerlevel
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declareroffice
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_declarerreminderon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_direction
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_isrevertedname
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_previousdeclaration
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_previousdeclarationname
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_processstage
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_renewalduedate
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_revertreason
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewcompletename
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewedon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewer
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewercomment
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewerlevel
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewername
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_revieweroffice
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_reviewerreminderon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,pmc_showdeclarationname
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,createdon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,modifiedon
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,statecodename
FUSION,Declaration Of Interest,FUSION,pmc_declarationofinterest,statuscodename
GAR,Grant Activity Review,GAR,Review Item,Grant Activity Review Item Id
GAR,Grant Activity Review Item,GAR,Review Item,Grant Activity Review Item Id
GAR,Grant Activity Review Item,GAR,Review Item,Category
GAR,Grant Activity Review Item,GAR,Review Item,Review Item Number
GAR,Grant Activity Review,GAR,Review Item,Review Item Number
GAR,Grant Activity Review Item,GAR,Review Item,Data Item
GAR,Grant Activity Review Item,GAR,Review Item,Descriptor Option Number
GAR,Grant Activity Review,GAR,Review Item,Descriptor Option Number
GAR,Grant Activity Review Item,GAR,Review Item,Descriptor Option
GAR,Grant Activity Review Item,GAR,Review Item,Explanation
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,ICN
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,Corporation Name
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,Status Reason
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,Registered On
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,Deregistered On
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,ABN
DGOV,ORIC Corporations,DGOV,ORIC_AboriginalAndTorresStraitIslanderCorporations,Corporation registered with ACNC?
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,Job Seeker Id
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,CRN
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,Community Name
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,Site Code
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,Contract Id
ESS,CDP Caseload Last 7 Days,ESS,CDP_Caseload_Last_7_Days,Snapshot Date
NIAA,Program Tracker,NIAA,ProgramTracker,Id
NIAA,Program Tracker,NIAA,ProgramTracker,Programme Code
NIAA,Program Tracker,NIAA,ProgramTracker,Category Id
NIAA,Program Tracker,NIAA,ProgramTracker,Activity Id
NIAA,Program Tracker,NIAA,ProgramTracker,Activity Title
NIAA,Program Tracker,NIAA,ProgramTracker,Activity Description
NIAA,Program Tracker,NIAA,ProgramTracker,Programme
NIAA,Program Tracker,NIAA,ProgramTracker,Sub-Programme
NIAA,Program Tracker,NIAA,ProgramTracker,Service Provider Name
NIAA,Program Tracker,NIAA,ProgramTracker,PMC Managing Region
NIAA,Program Tracker,NIAA,ProgramTracker,Purchase Order/Doc No
NIAA,Program Tracker,NIAA,ProgramTracker,Cost Centre
NIAA,Program Tracker,NIAA,ProgramTracker,Ministerial Brief Number
NIAA,Program Tracker,NIAA,ProgramTracker,Activity Start Date
NIAA,Program Tracker,NIAA,ProgramTracker,Activity End date
NIAA,Program Tracker,NIAA,ProgramTracker,Financial Year
NIAA,Program Tracker,NIAA,ProgramTracker,Type
NIAA,Program Tracker,NIAA,ProgramTracker,Value
ESS,CDP Grant Estimated Expenditure FY,ESS,SUB838_CDP_VDEN_CLAIM_RJCP_NIAA,EFFECTIVE_START_DATE
ESS,FUSION CDP Expenditure,ESS,SUB838_CDP_VDEN_CLAIM_RJCP_NIAA,EFFECTIVE_START_DATE
