"space_id","space_name","app_id","app_name","item_id","stage","stage_at","target_app_id","target_name","last_error","notes"
"","","74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","","blocked","2026-09-10 09:55:08","","","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 8 lib:// occurrences, report covers 7",""
"","","local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","","blocked","2026-09-10 09:55:10","","","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 1 lib:// occurrences, report covers 0","id pending tenant match"
"","","9c423bf4-ead1-4539-bca9-a2c20d52b681","01 ESS QVD Builder - TWES","","blocked","2026-09-10 09:55:12","","","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 2 lib:// occurrences, report covers 1",""
"","","local:01-qvd-generator-inphinity-forms","01 QVD Generator - Inphinity Forms","","retargeted","2026-09-10 09:55:14","","","","id pending tenant match"
"","","local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","","blocked","2026-09-10 09:55:16","","","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 2 lib:// occurrences, report covers 1","id pending tenant match"
"","","local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","","retargeted","2026-09-10 09:55:18","","","","id pending tenant match"
"","","local:02-ess-qvd-builder-finalisation-cdp-iep","02 ESS QVD Builder Finalisation CDP & IEP","","retargeted","2026-09-10 09:55:20","","","","id pending tenant match"
"","","local:02s-ess-qvd-builder-finalisation-snapshot","02s ESS QVD Builder Finalisation - Snapshot","","retargeted","2026-09-10 09:55:21","","","","id pending tenant match"
"","","7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","","retargeted","2026-09-10 09:55:23","","","",""
"","","bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","","retargeted","2026-09-10 09:55:26","","","",""
"","","local:aurion-qvd-generator","AURION QVD Generator","","retargeted","2026-09-10 09:55:28","","","","id pending tenant match"
"","","b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","","retargeted","2026-09-10 09:55:29","","","",""
"","","local:bushel-qvd-builder","Bushel QVD Builder","","retargeted","2026-09-10 09:55:31","","","","id pending tenant match"
"","","c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","","retargeted","2026-09-10 09:55:41","","","",""
"","","local:crm-qvd-generator","CRM QVD Generator","","retargeted","2026-09-10 09:55:43","","","","id pending tenant match"
"","","b8c2b008-894d-4850-a09c-ab34a12ee9d8","FUSION QVD Generator","","retargeted","2026-09-10 09:55:50","","","",""
"","","8559461b-8aba-4ccf-8380-493b75348cdf","Geospatial QVD Generator","","retargeted","2026-09-10 09:55:52","","","",""
"","","8be957c3-5b4e-4798-8325-79e5cfb34916","GPS QVD Generator","","retargeted","2026-09-10 09:55:55","","","",""
"","","local:grants-qvd-generator","Grants QVD Generator","","retargeted","2026-09-10 09:55:57","","","","id pending tenant match"
"","","local:iam-qvd-builder","IAM QVD Builder","","retargeted","2026-09-10 09:55:58","","","","id pending tenant match"
"","","3007c7dc-e938-43c4-9b26-ea484985d45e","IPP QVD Generator","","retargeted","2026-09-10 09:56:00","","","",""
