"app_id","app_name","line","onprem_qvd","status","cloud_target","note"
"local:01-qvd-generator-inphinity-forms","01 QVD Generator - Inphinity Forms","83","[lib://AppDataProd/AzureDataLake/$(vSchema)/$(vTable).QVD]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"local:01-qvd-generator-inphinity-forms","01 QVD Generator - Inphinity Forms","84","[lib://AppDataProd/AzureDataLake/$(vSchema)/$(vTable).QVD]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","51","LIB://AppData/PROD/AzureDataLake/ESS/IEP/;","out-of-scope","","unbracketed lib:// span, not attached to DIRECTORY or FROM"
"local:02-ess-qvd-builder-finalisation-cdp-iep","02 ESS QVD Builder Finalisation CDP & IEP","48","LIB://AppData/PROD/AzureDataLake/ESS/CDP/Temp/Error.QVD(QVD);","out-of-scope","","unbracketed lib:// span, not attached to DIRECTORY or FROM"
"local:02-ess-qvd-builder-finalisation-cdp-iep","02 ESS QVD Builder Finalisation CDP & IEP","55","[lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/QVD_List.QVD]","not-in-map","",""
"local:02-ess-qvd-builder-finalisation-cdp-iep","02 ESS QVD Builder Finalisation CDP & IEP","60","[lib://AppData/PROD/AzureDataLake/ESS/CDP/Temp/QVD_List*.QVD]","not-in-map","",""
"local:02s-ess-qvd-builder-finalisation-snapshot","02s ESS QVD Builder Finalisation - Snapshot","41","[lib://AppData/PROD/AzureDataLake/ESS/IEP/Snapshots/Temp/QVD_List.QVD]","not-in-map","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","46","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Data Warehouse Load Time.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","55","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","64","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","71","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","131","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","162","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Item.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","257","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","264","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","276","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","283","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","292","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme Component.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","301","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","308","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","399","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","406","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source System.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","449","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","471","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","531","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Milestone - Old.qvd]","already-mapped","","depends-on-variable: vDaysoverdue"
