"app_id","app_name","kind","name","detail"
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","variable","vMAX","996f13ee-e113-4722-a3e7-2d32aa9c0536"
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","variable","i","81e5439a-7bc2-43fa-8492-22dfbfc349d6"
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","variable","vTBL","551d9153-ffb9-4a99-b309-7ec2d604fd6e"
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","variable","vQLIK_TBL","97204a63-4931-422b-a78a-5aa42e3efce9"
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","variable","vSTREAM","9af889b4-b5b6-4d84-8fef-7bb156fb4541"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Activity ID","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Program Element","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Program Name","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Program Element Old","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Original Activity Approved Date","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Original Activity Approved Cost","table IEP_Activity"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Activity Snapshot Date","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Payment Extract Date","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Payment Key","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","IEP Payment Activity ID","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Payment ID","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Payment_FY","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Expenditure","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Advance","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Acquittal","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Expenditure_GST_Free","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Advance_GST_Free","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Acquittal_GST_Free","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Total Expenditure","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Total Expenditure GST Excl","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Advance Paid","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Advance Paid GST Excl","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Due_Date","table IEP_Claim_Payments"
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","field","Payment Month Year","table IEP_Claim_Payments"
