"line","kind","table_label","old_path","status","new_path","n_fields_read","n_renamed","detail"
21,"comment","","// directory lib://AppData/DEV/AzureDataLake/GPS/;","commented","",0,0,""
22,"directory","","LIB://AppDataProd/AzureDataLake/GPS/;","directory-statement","",0,0,""
53,"load","Load Date","[lib://AppDataProd/AzureDataLake/GPS/GPS Data Warehouse Load Time.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Data Warehouse Load Time.qvd]",3,3,""
59,"load","Activity Acquittal Amount Temp","[lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",2,2,""
68,"load","","[lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Funding.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",4,4,""
75,"load","","[lib://AppData/PROD/AzureDataLake/FUSION/Financial Year.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",2,2,""
130,"load","","[lib://AppData\PROD\AzureDataLake\GPS\Grant Activity Acquittal.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal.qvd]",28,28,""
177,"load","","[lib://AppData/PROD/AzureDataLake/GPS/Grant Activity Acquittal Item.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Item.qvd]",6,6,""
277,"load","Grant Activity Temp","[lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",25,25,""
298,"load","","[lib://AppDataProd/AzureDataLake/FUSION/Source Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]",2,2,""
324,"load","","[lib://AppDataProd/AzureDataLake/FUSION/Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]",11,11,""
331,"load","","[lib://AppData/PROD\AzureDataLake\FUSION\Programme.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme.qvd]",2,2,""
348,"load","","[lib://AppData/PROD\AzureDataLake\FUSION\Programme Component.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme Component.qvd]",4,4,""
356,"load","","[lib://AppData/PROD/AzureDataLake/SSR/RGU Staff.qvd]","not-in-map","",0,0,""
369,"load","Grant Activity Funding","[lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Funding.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",4,4,""
376,"load","","[lib://AppData/PROD/AzureDataLake/FUSION/Financial Year.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",2,2,""
506,"load","Grant Managing Region","[lib://AppData/PROD/AzureDataLake/GPS/Grant Managing Region.qvd]","multi-source","",0,0,"FUSION/Grant Activity; FUSION/Source System; NA/NA"
530,"load","","[lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",22,22,""
541,"load","GMU Region","[lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",14,14,""
588,"load","","[lib://AppData/PROD/AzureDataLake/SSR/Grant Activity Milestone.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Milestone - Old.qvd]",48,48,"depends-on-variable: vDaysoverdue"
609,"load","Milestone Overdue Month","[lib://AppData/PROD/AzureDataLake/SSR/Milestone Overdue Month.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Milestone Overdue Month.qvd]",4,4,""
620,"load","Grant Activity Acquittal Error","[lib://AppData/PROD/AzureDataLake/GPS/Grant Activity Acquittal Error.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Error.qvd]",3,3,""
