"our_line","table_label","our_status","our_path","their_line","their_path","path_verdict","n_our_fields","n_their_fields","n_source_name_matches","n_alias_matches","source_names_only_ours","source_names_only_theirs","alias_only_ours","alias_only_theirs"
53,"Load Date","retargeted-pending-import","[lib://Curated data Store:DataFiles/10 Landing Area/GPS/Data Warehouse Load Time.qvd]",46,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Data Warehouse Load Time.qvd]","same-source",3,3,3,3,"","","",""
59,"Activity Acquittal Amount Temp","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",57,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","same-source",2,2,2,2,"","","",""
68,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",66,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]","same-source",4,4,4,4,"","","",""
75,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",72,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]","same-source",2,2,2,2,"","","",""
130,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal.qvd]",132,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal.qvd]","same-source",23,22,18,18,"[Activity Id] & REPLACE([Review Financial Year], '-20', '-');IF([Review Status] LIKE '*Complete*', [Review Status Change Date]);REPLACE([Review Financial Year], '-20', '-');REPLACE(MID([Milestone Review Grouping Name], INDEX([Milestone Review Grouping Name], 'Acquittal', 1) + 10), '&', 'and');YEARNAME(IF([Review Status] LIKE '*Complete*', [Review Status Change Date]), 0, 7)","[Activity Id] & REPLACE([Review Financial Year],'-20','-');IF([Review Status] LIKE '*Complete*', [Review Status Change Date], NULL());REPLACE( MID( [Milestone Review Grouping Name], INDEX( [Milestone Review Grouping Name], 'Acquittal', 1) +10 ), '&' , 'and');REPLACE([Review Financial Year],'-20','-')","Acquittal Completion Financial Year;Grant Activity Acquittal.Review Authorised By;Grant Activity Acquittal.Review End Date;Grant Activity Acquittal.Review Start Date;Grant Activity Acquittal.Review Subtype","Review Authorised By;Review End Date;Review Start Date;Review Subtype"
177,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Item.qvd]",165,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Item.qvd]","same-source",6,6,6,5,"","","Grant Activity Acquittal Item.Review Title","Review Title"
277,"Grant Activity Temp","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",263,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","same-source",21,21,13,17,"DATE([Activity End Date], 'DD/MM/YYYY');DATE([Activity Start Date], 'DD/MM/YYYY');IF([Activity End Date] > TODAY() - 30 AND [Activity End Date] < TODAY(), 1, 0);IF([Activity Id] = '4-ENJBSQ2', 'a6c824bf-afc1-e611-80f1-c4346bc5977c', [PMC Region Id]);IF([Activity Start Date] > TODAY() - 30 AND [Activity Start Date] < TODAY(), 1, 0);IF(LEN([Programme Id]) = 0, 'ae0b9448-9f69-e611-80e6-c4346bc43f98', [Programme Id]);LOWER(TRIM([Activity Manager]));YEARNAME([Activity End Date], 0, 7)","DATE( [Activity End Date], 'DD/MM/YYYY');DATE( [Activity Start Date], 'DD/MM/YYYY');IF( [Activity End Date] > TODAY() - 30 AND [Activity End Date] < TODAY(), 1,0);IF( [Activity Id] = '4-ENJBSQ2', 'a6c824bf-afc1-e611-80f1-c4346bc5977c',[PMC Region Id]);IF( [Activity Start Date] > TODAY() - 30 AND [Activity Start Date] < TODAY(), 1,0);IF( LEN( [Programme Id]) = 0, 'ae0b9448-9f69-e611-80e6-c4346bc43f98',[Programme Id]);lower( Trim( [Activity Manager]));YEARNAME([Activity End Date], 0,7)","Grant Activity.Approved On Date;Grant Activity.Current Ceasing Activity Assessment;Grant Activity.Current Ceasing Activity Assessment Id%;Grant Activity.Source System Id%","Approved On Date;Current Ceasing Activity Assessment;Current Ceasing Activity Assessment Id;Source System Id"
298,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]",270,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]","same-source",2,2,2,2,"","","",""
324,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]",282,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]","same-source",7,7,5,7,"IF(ISNULL([Indigeneity]) OR [Indigeneity] = 'Unknown', 'No', [Indigeneity]);IF(ISNULL([ORP Risk Rating]), 'Not Rated', IF([ORP Expiry Date] < TODAY(), 'Expired', [ORP Risk Rating]))","IF(IsNull([Indigeneity]) or [Indigeneity] = 'Unknown' , 'No', [Indigeneity]);IF(ISNULL([ORP Risk Rating]), 'Not Rated', IF([ORP Expiry Date]<TODAY(), 'Expired', [ORP Risk Rating]))","",""
331,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Programme.qvd]",289,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme.qvd]","same-source",2,2,1,2,"REPLACE([Programme], '2.', '1.')","REPLACE([Programme],'2.','1.')","",""
