"our_line","their_line","name","side"
130,132,"[Activity Id] & REPLACE([Review Financial Year], '-20', '-')","ours-only"
130,132,"IF([Review Status] LIKE '*Complete*', [Review Status Change Date])","ours-only"
130,132,"REPLACE([Review Financial Year], '-20', '-')","ours-only"
130,132,"REPLACE(MID([Milestone Review Grouping Name], INDEX([Milestone Review Grouping Name], 'Acquittal', 1) + 10), '&', 'and')","ours-only"
130,132,"YEARNAME(IF([Review Status] LIKE '*Complete*', [Review Status Change Date]), 0, 7)","ours-only"
130,132,"[Activity Id] & REPLACE([Review Financial Year],'-20','-')","theirs-only"
130,132,"IF([Review Status] LIKE '*Complete*', [Review Status Change Date], NULL())","theirs-only"
130,132,"REPLACE( MID( [Milestone Review Grouping Name], INDEX( [Milestone Review Grouping Name], 'Acquittal', 1) +10 ), '&' , 'and')","theirs-only"
130,132,"REPLACE([Review Financial Year],'-20','-')","theirs-only"
277,263,"DATE([Activity End Date], 'DD/MM/YYYY')","ours-only"
277,263,"DATE([Activity Start Date], 'DD/MM/YYYY')","ours-only"
277,263,"IF([Activity End Date] > TODAY() - 30 AND [Activity End Date] < TODAY(), 1, 0)","ours-only"
277,263,"IF([Activity Id] = '4-ENJBSQ2', 'a6c824bf-afc1-e611-80f1-c4346bc5977c', [PMC Region Id])","ours-only"
277,263,"IF([Activity Start Date] > TODAY() - 30 AND [Activity Start Date] < TODAY(), 1, 0)","ours-only"
277,263,"IF(LEN([Programme Id]) = 0, 'ae0b9448-9f69-e611-80e6-c4346bc43f98', [Programme Id])","ours-only"
277,263,"LOWER(TRIM([Activity Manager]))","ours-only"
277,263,"YEARNAME([Activity End Date], 0, 7)","ours-only"
277,263,"DATE( [Activity End Date], 'DD/MM/YYYY')","theirs-only"
277,263,"DATE( [Activity Start Date], 'DD/MM/YYYY')","theirs-only"
277,263,"IF( [Activity End Date] > TODAY() - 30 AND [Activity End Date] < TODAY(), 1,0)","theirs-only"
277,263,"IF( [Activity Id] = '4-ENJBSQ2', 'a6c824bf-afc1-e611-80f1-c4346bc5977c',[PMC Region Id])","theirs-only"
277,263,"IF( [Activity Start Date] > TODAY() - 30 AND [Activity Start Date] < TODAY(), 1,0)","theirs-only"
277,263,"IF( LEN( [Programme Id]) = 0, 'ae0b9448-9f69-e611-80e6-c4346bc43f98',[Programme Id])","theirs-only"
277,263,"lower( Trim( [Activity Manager]))","theirs-only"
