"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Data Quality Id","AzureDbProdNIAADL","GRANTS","Data Quality","Data Quality Id",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Grant Activity Id","AzureDbProdNIAADL","GRANTS","Data Quality","Grant Activity Id",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.PMC Region Id","AzureDbProdNIAADL","GRANTS","Data Quality","PMC Region Id",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Activity Id","AzureDbProdNIAADL","GRANTS","Data Quality","Activity Id",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Activity Manager","AzureDbProdNIAADL","GRANTS","Data Quality","Activity Manager",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Error No","AzureDbProdNIAADL","GRANTS","Data Quality","Error No",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Error Description","AzureDbProdNIAADL","GRANTS","Data Quality","Error Description",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Details","AzureDbProdNIAADL","GRANTS","Data Quality","Details",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.ReportDate","AzureDbProdNIAADL","GRANTS","Data Quality","ReportDate",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Current Flag","AzureDbProdNIAADL","GRANTS","Data Quality","Current Flag",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Data Quality\Data Quality.qvd","Data Quality.Months Outstanding","AzureDbProdNIAADL","GRANTS","Data Quality","Months Outstanding",NA,NA,"mapped",72
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","internalGrantReference","AzureDbProdNIAADL","GRANTS","Published Grants","internalGrantReference",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","goID","AzureDbProdNIAADL","GRANTS","Published Grants","goID",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","internalReferenceID","AzureDbProdNIAADL","GRANTS","Published Grants","internalReferenceID",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","isAdHoc","AzureDbProdNIAADL","GRANTS","Published Grants","isAdHoc",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","isAggregateGrantAward","AzureDbProdNIAADL","GRANTS","Published Grants","isAggregateGrantAward",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","approvalDate","AzureDbProdNIAADL","GRANTS","Published Grants","approvalDate",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","startDate","AzureDbProdNIAADL","GRANTS","Published Grants","startDate",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","endDate","AzureDbProdNIAADL","GRANTS","Published Grants","endDate",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","value","AzureDbProdNIAADL","GRANTS","Published Grants","value",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","selectionProcess","AzureDbProdNIAADL","GRANTS","Published Grants","selectionProcess",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","PBSProgramName","AzureDbProdNIAADL","GRANTS","Published Grants","PBSProgramName",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","financialYear","AzureDbProdNIAADL","GRANTS","Published Grants","financialYear",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","grantProgram","AzureDbProdNIAADL","GRANTS","Published Grants","grantProgram",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","grantActivity","AzureDbProdNIAADL","GRANTS","Published Grants","grantActivity",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","purpose","AzureDbProdNIAADL","GRANTS","Published Grants","purpose",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","categoryCode","AzureDbProdNIAADL","GRANTS","Published Grants","categoryCode",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","isConfidentialityContract","AzureDbProdNIAADL","GRANTS","Published Grants","isConfidentialityContract",NA,NA,"mapped",177
"Grants QVD Generator","lib://AppData\PROD\AzureDataLake\Published Grants\Published Grants.qvd","confidentialityContract_reason","AzureDbProdNIAADL","GRANTS","Published Grants","confidentialityContract_reason",NA,NA,"mapped",177
