"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Interaction Id","AzureDbProdNIAADL","CRM","Linking Table","Interaction Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.User Id","AzureDbProdNIAADL","CRM","Linking Table","User Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Interaction Owner Id","AzureDbProdNIAADL","CRM","Linking Table","Interaction Owner Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Engagement Owner Id","AzureDbProdNIAADL","CRM","Linking Table","Engagement Owner Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Organisation Id","AzureDbProdNIAADL","CRM","Linking Table","Organisation Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Contact Id","AzureDbProdNIAADL","CRM","Linking Table","Contact Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Engagement Id","AzureDbProdNIAADL","CRM","Linking Table","Engagement Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\CRM Linking Table.qvd","CRM Linking Table.Party Id","AzureDbProdNIAADL","CRM","Linking Table","Party Id",NA,NA,"mapped",58
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\Engagement.qvd","Engagement.Engagement Id%","AzureDbProdNIAADL","CRM","Engagement","Engagement Id",NA,NA,"mapped",115
"CRM QVD Generator","lib://AppData\PROD\AzureDataLake\CRM\Engagement.qvd","Engagement.Organisation Id%","AzureDbProdNIAADL","CRM","Engagement","Organisation Id",NA,NA,"mapped",115
