"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\SSIS FUSION.qvd",,"AzureDbProdNIAADL","dbo","CheckSSISPackage('ExtractFusionCRM')","*",,,"select-star","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Action Item Id%","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Action Item Id",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Activity Type Code","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Activity Type Code",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Activity Type","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Activity Type",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Grant Activity Id","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Grant Activity Id",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Organisation Id","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Organisation Id",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Organisation","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Organisation",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Case Id","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Case Id",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Case","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Case",,,"mapped","7940"
"FUSION QVD Generator","lib://AppData\PROD\AzureDataLake\FUSION\Action Item.qvd","Action Item.Activity Additional Params","AzureDbProdNIAADL","""AZDB-AUE-PRD-NIAADL01""","FUSION.""Action Item""","Activity Additional Params",,,"mapped","7940"
