"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Id","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Id",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Language Code","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Language Code",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Language","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Language",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Language Synonym","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Language Synonym",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Heading Language","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Heading Language",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.People","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","People",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Latitude","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Latitude",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Longitude","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Longitude",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.State/Territories","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","State/Territories",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.URL","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","URL",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.Mesh Block Code 2021","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","Mesh Block Code 2021",,,"mapped","2008"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\ATSI Language.qvd","ATSI Language.GeoPoint","AzureDbDevGeospatial","""AZDB-ZEA-DEV-GEOSPATIAL""","AIATSIS.""ATSI Language""","GeoMakePoint([Latitude], [Longitude])",,,"parse-error","2008"
