"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Region 2020.qvd","NIAA Region 2020.NIAA Region Code","GeoAnalytics Plus",,,,,,"non-sql-source","2019"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Region 2020.qvd","NIAA Region 2020.NIAA Region","GeoAnalytics Plus",,,,,,"non-sql-source","2019"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Region 2020.qvd","NIAA Region 2020.Geometry","GeoAnalytics Plus",,,,,,"non-sql-source","2019"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Subregion 2021.qvd","NIAA Subregion 2021.NIAA Subregion","GeoAnalytics Plus",,,,,,"non-sql-source","2040"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Subregion 2021.qvd","NIAA Subregion 2021.NIAA Region","GeoAnalytics Plus",,,,,,"non-sql-source","2040"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\NIAA Subregion 2021.qvd","NIAA Subregion 2021.Geometry","GeoAnalytics Plus",,,,,,"non-sql-source","2040"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\SA1 - NIAA Subregion.qvd","SA1 - NIAA Subregion.SA1 Main Code","AzureDbProdNIAADL","""AZDB-ZEA-PRD-NIAADL01""","NIAA.""SA1 - NIAA Subregion""","SA1 Main Code",,,"mapped","2062"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\SA1 - NIAA Subregion.qvd","SA1 - NIAA Subregion.SA1 7 Digit Code","AzureDbProdNIAADL","""AZDB-ZEA-PRD-NIAADL01""","NIAA.""SA1 - NIAA Subregion""","SA1 7 Digit Code",,,"mapped","2062"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\SA1 - NIAA Subregion.qvd","SA1 - NIAA Subregion.NIAA Region","AzureDbProdNIAADL","""AZDB-ZEA-PRD-NIAADL01""","NIAA.""SA1 - NIAA Subregion""","NIAA Region",,,"mapped","2062"
"Geospatial QVD Generator","lib://AppData\PROD\Geospatial\SA1 - NIAA Subregion.qvd","SA1 - NIAA Subregion.NIAA Subregion","AzureDbProdNIAADL","""AZDB-ZEA-PRD-NIAADL01""","NIAA.""SA1 - NIAA Subregion""","NIAA Subregion",,,"mapped","2062"
