"generator_app","qvd_path_raw","qvd_field","db_connection","db_schema","db_table","db_column","src_qvd_path","src_qvd_field","status","line"
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity_1000_Jobs.QVD","*","AzureDbProdNIAADL","ESS","IEP Activity","*",NA,NA,"select-star",1039
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","IEP Activity Key","AzureDbProdNIAADL",NA,NA,"CONVERT(VARCHAR,P.ProjectId) + '|' + $(vSNAPSHOT_DATE)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","IEP Activity Snapshot Date","AzureDbProdNIAADL",NA,NA,"$(vSNAPSHOT_DATE)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","IEP Activity Extract Date","AzureDbProdNIAADL","ESS","SUB804_IEP_PROJECT_HISTORY_NIAA","P.EXTRACT_DATE",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","IEP Activity ID",NA,NA,NA,NA,NA,NA,"multi-source",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","IEP Provider Key","AzureDbProdNIAADL",NA,NA,"CONVERT(VARCHAR,P.ProviderId) + '|ESSWEB|' + $(vSNAPSHOT_DATE)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Name","AzureDbProdNIAADL","ESS","SUB804_IEP_PROJECT_HISTORY_NIAA","P.Title",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Start Date","AzureDbProdNIAADL",NA,NA,"CONVERT(DATE,StartDate)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity End Date","AzureDbProdNIAADL",NA,NA,"EndDate",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Supervising Office Code","AzureDbProdNIAADL",NA,NA,"SupervisingOfficeCode",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Supervising Office","AzureDbProdNIAADL",NA,NA,"ISNULL(DIS.LONG_DESC,'Unknown')",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Approved Date","AzureDbProdNIAADL",NA,NA,"ApprovalDate",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Approved Cost","AzureDbProdNIAADL",NA,NA,"ApprovedCost",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Program CAT Code","AzureDbProdNIAADL",NA,NA,"ProgramCategoryCode",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Status Code","AzureDbProdNIAADL","ESS","SUB804_IEP_PROJECT_HISTORY_NIAA","p.StatusCode",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Status","AzureDbProdNIAADL","ESS","SUB811_LOOKUP_ADW_CODE_NIAA","ISA.LONG_DESC",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Spent Funds","AzureDbProdNIAADL",NA,NA,"ApprovedCost - UnspentFunds",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Unspent Funds","AzureDbProdNIAADL",NA,NA,"UnspentFunds",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Contract Manager","AzureDbProdNIAADL",NA,NA,"CONCAT(USR.FIRST_GIVEN_NAME, ' ' ,USR.FAMILY_NAME)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Contract Manager Email","AzureDbProdNIAADL","ESS","SUB863_EBIW_ESAM_USERS_NIAA","EMAIL_ADDRESS",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Business Development Officer","AzureDbProdNIAADL",NA,NA,"CONCAT(BDO.FIRST_GIVEN_NAME, ' ' ,BDO.FAMILY_NAME)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Business Development Officer Email","AzureDbProdNIAADL","ESS","SUB863_EBIW_ESAM_USERS_NIAA","EMAIL_ADDRESS",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Legal Contract Execution Date","AzureDbProdNIAADL",NA,NA,"ExecutionDate",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Training Max Places","AzureDbProdNIAADL",NA,NA,"MaxTrainingCount",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Employment Max Places","AzureDbProdNIAADL",NA,NA,"MaxEmploymentCount",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Description","AzureDbProdNIAADL",NA,NA,"Description",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Recruitment End Date","AzureDbProdNIAADL",NA,NA,"RecruitmentEndDate",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Recruitment Ended Flag","AzureDbProdNIAADL",NA,NA,"CASE WHEN RecruitmentEndDate > $(vSNAPSHOT_DATE_SQL) THEN 'No' ELSE 'Yes' END",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","prg.[IEP Program Element]","AzureDbProdNIAADL","ESS","IEP Program Element","prg.[IEP Program Element]",NA,NA,"parse-error",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","prg.[IEP Program Name]","AzureDbProdNIAADL","ESS","IEP Program Element","prg.[IEP Program Name]",NA,NA,"parse-error",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Project Type Code","AzureDbProdNIAADL","ESS","SUB804_IEP_PROJECT_HISTORY_NIAA","P.TypeCode",NA,NA,"mapped-chained",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Activity Duration (Weeks)","AzureDbProdNIAADL",NA,NA,"FLOOR(DATEDIFF(day,StartDate,EndDate)/7)",NA,NA,"expr-column",1042
"01 ESS QVD Builder - IEP","lib://AppData/PROD/AzureDataLake/ESS/IEP/Temp/IEP_Activity.QVD","Industry","AzureDbProdNIAADL",NA,NA,"COALESCE(COALESCE(OC1.LONG_DESC,OC1old.LONG_DESC),'Unknown')",NA,NA,"expr-column",1042
