"RelPath","reason","snippet"
"ABS/2021 ABS Remoteness x ILOC.qvd","from-no-dot","[2021 ABS Remoteness x ILOC]:
LOAD 
// 	State, 
	ILOC_CODE_2021 as [ILOC Code],
// 	ILOC_NAME_2021, 
// 	RA_CODE_2021, 
"
"ABS/2021 Census Datapacks x ILOC.qvd","from-no-dot","[2021 Census Datapacks x ILOC]:
// [ILOC_2021_Census_I01A]:
LOAD 
	right(ILOC_CODE_2021,8) as [ILOC Code], 
// 	text(App"
"ABS/2021 CtG Targets ABS Tablebuilder.qvd","from-no-dot","[2021 CtG Targets ABS Tablebuilder]:
// [Tablebuilder CtG5 x ILOC]:
LOAD 
// 	ILOC_Code, 
	right(ILOC_Code,8) as [ILOC C"
"ABS/ATSIP Census Cell Descriptor.qvd","from-no-dot","LOAD [ATSIP Census Cell Descriptor Id] AS [ATSIP Census Cell Descriptor Id%], 
	[Sort Order], 
	[ABS Column Name], 
	[Ce"
"ABS/ATSIP ILOC Census Cell 2011-1.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
"ABS/ATSIP ILOC Census Cell 2011-2.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
"ABS/ATSIP ILOC Census Cell 2011.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
"ABS/ATSIP ILOC Census Cell 2016-1.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
"ABS/ATSIP ILOC Census Cell 2016-2.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
"ABS/ATSIP ILOC Census Cell 2016.qvd","from-no-dot","LOAD [ATSIP ILOC Census Cell Id]       AS [ATSIP ILOC Census Cell Id%], 
	 [ATSIP Census Cell Descriptor Id] AS [ATSIP I"
