"qvd_path_raw","qvd_field","db_schema","db_table","db_column","status","source_db_captured"
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Organisation Code","ESS","Remote Employment Organisation Indigeneity","Organisation Code","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Organisation Name","ESS","Remote Employment Organisation Indigeneity","Organisation Name","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Is Indigenous","ESS","Remote Employment Organisation Indigeneity","Is Indigenous","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Organisational Indigeneity","ESS","Remote Employment Organisation Indigeneity","Organisational Indigeneity","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Organisational Indigeneity Evidence","ESS","Remote Employment Organisation Indigeneity","Organisational Indigeneity Evidence","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","First Nations Owned Proportion","ESS","Remote Employment Organisation Indigeneity","First Nations Owned Proportion","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","First Nations Controlled Proportion","ESS","Remote Employment Organisation Indigeneity","First Nations Controlled Proportion","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","First Nations Employees Proportion","ESS","Remote Employment Organisation Indigeneity","First Nations Employees Proportion","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Not For Profit Evidence","ESS","Remote Employment Organisation Indigeneity","Not For Profit Evidence","mapped",""
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","Delivery Partners Comment","ESS","Remote Employment Organisation Indigeneity","Delivery Partners Comment","mapped",""
"NACCHO/Member Name Locations.qvd","NACCHO Member Name","NACCHO","Member Name Locations","NACCHO Member Name","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Address","NACCHO","Member Name Locations","Address","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","City/Suburb","NACCHO","Member Name Locations","City/Suburb","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","State","NACCHO","Member Name Locations","State","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Latitude","NACCHO","Member Name Locations","Latitude","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Longitude","NACCHO","Member Name Locations","Longitude","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Address Url For Geocode Succeess Level","NACCHO","Member Name Locations","Address Url For Geocode Succeess Level","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Mesh Block Code 2016","NACCHO","Member Name Locations","Mesh Block Code 2016","mapped","AZDB-ZEA-PRD-NIAADL01"
"NACCHO/Member Name Locations.qvd","Mesh Block Code 2021","NACCHO","Member Name Locations","Mesh Block Code 2021","mapped","AZDB-ZEA-PRD-NIAADL01"
"DataCatalogue/DLColumnDataTypes.QVD","User Type Key","","","CONCAT('AZDB-AUE-PRD-NIAADL01', '|', t.user_type_id)","expr-column","AZDB-AUE-PRD-NIAADL01"
"DataCatalogue/DLColumnDataTypes.QVD","Data Type","sys","types","name","mapped","AZDB-AUE-PRD-NIAADL01"
