"check","onprem_qvd","onprem_field","verdict","detail"
"duplicate-key","CRM/Contact.qvd","Contact.Alternate Name","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Alternate Name","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Biography","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Biography","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Business Address Details","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Business Address Details","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Method","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Method","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Notice Notes","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Notice Notes","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Notice Provided","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Collection Notice Provided","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Communication Protocol","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Communication Protocol","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Contact Id%","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Contact Id%","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Customer Id%","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Customer Id%","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email Address 2","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email Address 2","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email Address 3","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Email Address 3","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.First Name","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.First Name","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Full Name","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Full Name","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Job Title","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Job Title","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Last Name","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Last Name","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Main Phone","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Main Phone","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Mobile Phone","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Mobile Phone","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Organisation Id%","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Organisation Id%","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Postal Address Details","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Postal Address Details","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Preferred Name","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Preferred Name","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Sectors","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Sectors","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Specialist Subject Areas","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Specialist Subject Areas","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Stakeholder Involvement","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Stakeholder Involvement","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Suffix","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Suffix","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Tags","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Tags","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Telephone 2","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Telephone 2","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Telephone 3","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Telephone 3","not-found","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Title","in-cloud","key appears 2 times"
"duplicate-key","CRM/Contact.qvd","Contact.Title","not-found","key appears 2 times"
"duplicate-key","CRM/Engagement.qvd","Engagement.Action Required","in-cloud","key appears 2 times"
"duplicate-key","CRM/Engagement.qvd","Engagement.Action Required","in-cloud","key appears 2 times"
