"qvd_path","n_consumers","n_consumers_in_stream","n_consumers_stale_named","in_map","n_fields","n_resolved","n_view_work","n_not_found","n_derived","n_non_niaa","n_retired","pct_resolved"
"fusion/organisation.qvd",126,28,8,TRUE,30,30,0,0,0,0,0,100
"fusion/grant activity funding.qvd",112,19,4,TRUE,9,9,0,0,0,0,0,100
"fusion/grant activity.qvd",110,20,6,TRUE,60,60,0,0,0,0,0,100
"gps/grant activity milestone.qvd",81,6,5,TRUE,31,31,0,0,0,0,0,100
"fusion/grant application.qvd",77,21,8,TRUE,55,55,0,0,0,0,0,100
"fusion/source organisation.qvd",75,22,12,TRUE,17,17,0,0,0,0,0,100
"fusion/grant round.qvd",74,21,7,TRUE,5,5,0,0,0,0,0,100
"gps/grant application.qvd",68,14,5,TRUE,31,27,0,0,4,0,0,87.1
"gps/grant activity performance.qvd",66,5,5,TRUE,25,25,0,0,0,0,0,100
"fusion/grant activity location attribution.qvd",65,5,6,TRUE,6,6,0,0,0,0,0,100
"iam/niaa staff.qvd",65,14,10,TRUE,20,20,0,0,0,0,0,100
"fusion/performance report assessment.qvd",59,5,5,TRUE,41,41,0,0,0,0,0,100
"fusion/financial year.qvd",57,6,1,TRUE,4,4,0,0,0,0,0,100
"fusion/site visit assessment.qvd",56,5,5,TRUE,49,49,0,0,0,0,0,100
"gps/grant activity missing milestone.qvd",56,5,5,TRUE,26,26,0,0,0,0,0,100
"gps/grant activity derived history.qvd",54,9,2,TRUE,3,3,0,0,0,0,0,100
"fusion/grant activity location.qvd",52,5,1,TRUE,30,30,0,0,0,0,0,100
"gps/grant activity acquittal.qvd",52,5,1,TRUE,28,28,0,0,0,0,0,100
"fusion/site visit location.qvd",50,5,5,TRUE,25,25,0,0,0,0,0,100
"gps/grant activity performance derived history.qvd",50,4,5,TRUE,2,2,0,0,0,0,0,100
"gps/grant activity performance item.qvd",49,5,5,TRUE,9,9,0,0,0,0,0,100
"niaa/oric register.qvd",49,7,2,TRUE,7,7,0,0,0,0,0,100
"gps/organisaiton indigeniety.qvd",48,7,2,TRUE,7,7,0,0,0,0,0,100
"niaa/acnc register.qvd",48,7,2,TRUE,4,4,0,0,0,0,0,100
"fusion/ctg outcome.qvd",47,5,1,TRUE,7,7,0,0,0,0,0,100
"gps/grant activity.qvd",46,5,2,TRUE,24,24,0,0,0,0,0,100
"fusion/grant acquittal.qvd",42,5,1,TRUE,67,67,0,0,0,0,0,100
"gps/grant activity milestone derived history.qvd",42,5,1,TRUE,2,2,0,0,0,0,0,100
"geospatial/state 2016.qvd",42,5,1,TRUE,6,0,0,0,2,4,0,0
"fusion/grant management unit.qvd",41,2,1,TRUE,11,11,0,0,0,0,0,100
"fusion/niaa region.qvd",41,2,1,TRUE,12,12,0,0,0,0,0,100
"gps/grant activity missing milestone derived history.qvd",41,5,1,TRUE,2,2,0,0,0,0,0,100
"gps/grant activity acquittal derived history.qvd",40,5,1,TRUE,3,3,0,0,0,0,0,100
"gps/grant application derived history.qvd",40,4,1,TRUE,4,4,0,0,0,0,0,100
"geospatial/ced 2021.qvd",40,4,1,TRUE,9,0,0,0,0,9,0,0
"fusion/grant acquittal recommendation.qvd",39,5,1,TRUE,28,28,0,0,0,0,0,100
"fusion/organisation risk profile derived history.qvd",39,5,1,TRUE,3,3,0,0,0,0,0,100
"fusion/organisation risk profile task.qvd",39,5,1,TRUE,24,24,0,0,0,0,0,100
"fusion/organisation risk profile.qvd",39,5,1,TRUE,46,46,0,0,0,0,0,100
"fusion/pmc region.qvd",39,6,3,TRUE,9,9,0,0,0,0,0,100
"geospatial/ec 2020.qvd",39,4,1,TRUE,3,0,0,0,0,3,0,0
"geospatial/ra 2016.qvd",39,4,1,TRUE,6,0,0,0,0,6,0,0
"geospatial/sa2 2016.qvd",39,4,1,TRUE,13,0,0,0,0,13,0,0
"geospatial/sa3 2016.qvd",39,4,1,TRUE,10,0,0,0,0,10,0,0
"geospatial/sa4 2016.qvd",39,4,1,TRUE,8,0,0,0,0,8,0,0
"fusion/ceasing activity assessment.qvd",38,3,1,TRUE,76,76,0,0,0,0,0,100
"gps/grant application assessment details.qvd",38,11,5,TRUE,14,14,0,0,0,0,0,100
"gps/grant application assessment score.qvd",37,10,5,TRUE,9,9,0,0,0,0,0,100
"geospatial/mb 2021 - nt admin region 2023.qvd",37,4,1,TRUE,3,0,0,0,0,3,0,0
"data quality/data quality.qvd",36,3,1,TRUE,11,0,11,0,0,0,0,0
"fusion/ceasing activity funding.qvd",36,3,1,TRUE,4,4,0,0,0,0,0,100
"geospatial/nt admin region 2023.qvd",36,4,1,TRUE,8,0,0,0,1,7,0,0
"gps/grant application compliance assessment.qvd",35,10,4,TRUE,9,9,0,0,0,0,0,100
"gps/grant application delivery locations.qvd",35,10,4,TRUE,4,4,0,0,0,0,0,100
"fusion/opportunity programme funding.qvd",34,4,1,TRUE,9,9,0,0,0,0,0,100
"gps/grant application information detail.qvd",33,10,4,TRUE,6,6,0,0,0,0,0,100
"fusion/activity risk assessment.qvd",31,3,1,TRUE,49,49,0,0,0,0,0,100
"gps/grant application status.qvd",28,6,0,TRUE,11,11,0,0,0,0,0,100
"fusion/funding decision.qvd",26,3,4,TRUE,183,182,0,0,1,0,0,99.5
"fusion/programme.qvd",26,3,0,TRUE,4,4,0,0,0,0,0,100
"geospatial/iare 2016.qvd",25,5,0,TRUE,8,0,0,0,0,8,0,0
"geospatial/ireg 2016.qvd",25,5,0,TRUE,6,0,0,0,0,6,0,0
"geospatial/pmc 2018.qvd",25,5,0,TRUE,3,0,0,0,0,3,0,0
"geospatial/sa1 - abs.qvd",25,5,0,TRUE,21,21,0,0,0,0,0,100
"fusion/programme component.qvd",24,2,0,TRUE,10,10,0,0,0,0,0,100
"fusion/fusion location.qvd",23,1,1,TRUE,13,13,0,0,0,0,0,100
"fusion/opportunity - fusion location.qvd",23,1,1,TRUE,2,2,0,0,0,0,0,100
"fusion/site visit assessment action item.qvd",23,0,1,TRUE,64,64,0,0,0,0,0,100
"geospatial/niaa region 2020.qvd",23,5,0,TRUE,3,0,0,0,0,3,0,0
"geospatial/sa1 - pmc region.qvd",23,4,0,TRUE,3,3,0,0,0,0,0,100
"fusion/opportunity - target group.qvd",22,0,1,TRUE,2,2,0,0,0,0,0,100
"fusion/target group.qvd",22,0,1,TRUE,6,6,0,0,0,0,0,100
"geospatial/iloc 2016.qvd",22,4,0,TRUE,10,0,0,0,0,10,0,0
"gps/grant managing region.qvd",21,0,0,TRUE,7,6,0,0,1,0,0,85.7
"fusion/grant activity review.qvd",18,0,4,TRUE,24,24,0,0,0,0,0,100
"geospatial/niaa subregion 2021.qvd",18,4,0,TRUE,3,0,0,0,0,3,0,0
"ess/cdp/cdp activity referral placement.qvd",17,6,3,TRUE,25,25,0,0,0,0,0,100
"ess/cdp/cdp caseload.qvd",16,6,3,TRUE,23,23,0,0,0,0,0,100
"geospatial/sa1 - niaa subregion.qvd",16,4,0,TRUE,4,4,0,0,0,0,0,100
"ess/cdp/cdp caseload month end.qvd",15,5,2,TRUE,8,8,0,0,0,0,0,100
"ess/cdp/cdp job seeker.qvd",15,5,3,TRUE,30,30,0,0,0,0,0,100
"fusion/grant application note.qvd",15,6,0,TRUE,6,6,0,0,0,0,0,100
"ssr/grant activity milestone.qvd",15,0,0,TRUE,39,39,0,0,0,0,0,100
"ess/cdp/cdp age group.qvd",14,5,3,TRUE,4,4,0,0,0,0,0,100
"ess/cdp/cdp barrier job plan activity link.qvd",14,5,3,TRUE,3,3,0,0,0,0,0,100
"ess/cdp/cdp barrier job plan assistance link.qvd",14,5,3,TRUE,3,3,0,0,0,0,0,100
"ess/cdp/cdp barrier.qvd",14,5,3,TRUE,18,18,0,0,0,0,0,100
"ess/cdp/cdp job plan activity detail.qvd",14,5,3,TRUE,7,7,0,0,0,0,0,100
"ess/cdp/cdp job plan activity.qvd",14,5,3,TRUE,13,13,0,0,0,0,0,100
"ess/cdp/cdp job plan assistance.qvd",14,5,3,TRUE,8,8,0,0,0,0,0,100
"ess/cdp/cdp job plan.qvd",14,5,3,TRUE,10,10,0,0,0,0,0,100
"ess/cdp/cdp job seeker appointment.qvd",14,5,3,TRUE,19,19,0,0,0,0,0,100
"ess/cdp/cdp job seeker assessment.qvd",14,5,3,TRUE,10,10,0,0,0,0,0,100
"ess/cdp/cdp job seeker characteristics.qvd",14,5,3,TRUE,26,26,0,0,0,0,0,100
"ess/cdp/cdp jsci classification.qvd",14,5,3,TRUE,10,10,0,0,0,0,0,100
"ess/cdp/cdp activity attendance monthly rollup.qvd",13,4,2,TRUE,6,6,0,0,0,0,0,100
"ess/cdp/remote employment organisation indigeneity.qvd",13,4,1,TRUE,10,10,0,0,0,0,0,100
