"app","load_id","table","tab","line","old_path","status","view_schema","view_name","new_path","n_read_fields","evidence","decided_by"
"GMR",1,"Grant Managing Region",NA,1,"lib://AppData/PROD/AzureDataLake/GPS/Grant Managing Region.qvd","field-mismatch","NIAA","Program Tracker",NA,5,"4 of 5 read fields absent from NIAA.Program Tracker: NIAA Region Id; GMU Region Id; Engegement Officer; Source System","auto"
"GMR",2,"NIAA Region",NA,13,"lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd","field-mismatch","NIAA","Program Tracker",NA,5,"2 of 5 read fields absent from NIAA.Program Tracker: PMC Region Abbr; State","auto"
"GMR",3,"GMU Region",NA,32,"lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd","field-mismatch","NIAA","Program Tracker",NA,5,"2 of 5 read fields absent from NIAA.Program Tracker: PMC Region Abbr; State","auto"
"GMR",4,"Grant Activity Temp",NA,54,"lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd","field-mismatch","NIAA","Program Tracker",NA,18,"11 of 18 read fields absent from NIAA.Program Tracker: Source Organisation Id; Programme Component Id; Sub Programme; Grant Activity; Source System Id","auto"
"GMR",5,"Grant Activity Temp",NA,95,"lib://AppDataProd/AzureDataLake/FUSION/Source Organisation.qvd","field-mismatch","SCSO","Mail Merge",NA,10,"7 of 10 read fields absent from SCSO.Mail Merge: Source System; Source Organisation Name; Trading Name; Address Line; State","auto"
"GMR",6,"Grant Activity Temp",NA,115,"lib://AppDataProd/AzureDataLake/FUSION/Organisation.qvd","field-mismatch","NIAA","xOrganisation Debt",NA,4,"3 of 4 read fields absent from NIAA.xOrganisation Debt: ORP Risk Rating; ORP Expiry Date; Indigeneity","auto"
"GMR",7,"Grant Activity Temp",NA,142,"lib://AppData/PROD\AzureDataLake\FUSION\Programme.qvd","retarget-incomplete","NIAA","Program Tracker","lib://Curated data Store:DataFiles/10 Landing Area/NIAA/Program Tracker.qvd",2,"2 of 2 read fields present in NIAA.Program Tracker (29 columns; the view drops 1 of the source's, unread by this app)","auto"
"GMR",8,"Grant Activity Temp",NA,148,"lib://AppData/PROD\AzureDataLake\FUSION\Programme Component.qvd","field-mismatch","FUSION","Programme Component Alternate Name",NA,4,"4 of 4 read fields absent from FUSION.Programme Component Alternate Name: Programme Component Id; Programme Id; Programme Component; Outcome Element","auto"
"GMR",9,"Grant Activity Temp",NA,164,"lib://AppData/PROD/AzureDataLake/SSR/RGU Staff.qvd","field-mismatch","CRM","Linking Table",NA,3,"3 of 3 read fields absent from CRM.Linking Table: RGU Team / Section; RGU Location; Name in Grants System","auto"
"GMR",10,"Grant Activity Funding",NA,175,"lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Funding.qvd","field-mismatch","FUSION","Grant Activity",NA,4,"1 of 4 read fields absent from FUSION.Grant Activity: Financial Year Id","auto"
"GMR",11,"Grant Activity Performance Item",NA,220,"lib://AppDataProd/AzureDataLake/GPS/Grant Activity Performance Item.qvd","field-mismatch","GPS","Grant Activity Performance Item",NA,8,"1 of 8 read fields absent from GPS.Grant Activity Performance Item: Review Item Id","auto"
