"source_app","onprem_qvd","onprem_qvd_temp","onprem_field","verdict","cloud_view_schema","cloud_view_name","cloud_qvd","cloud_field","source_database","source_schema","source_object","source_column","evidence_file","evidence","truth_source"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Activity Referral Id","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Activity Referral Id","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Activity Referral Id","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Activity Referral Id (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Attendance Month End","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Attendance Month End","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Attendance Month End","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Attendance Month End (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Attendance Scheduled Hours","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Attendance Scheduled Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Attendance Scheduled Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Attendance Scheduled Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Attendances","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Attendances","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Attendances","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Attendances (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Contract Referral Id","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Contract Referral Id","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Contract Referral Id","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Contract Referral Id (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Monthly Rollup.QVD","Job Seeker Id","in-cloud","ESS","CDP Activity Attendance Monthly Rollup","ESS/CDP Activity Attendance Monthly Rollup.qvd","Job Seeker Id","AzureDbProdNIAADL","ESS","CDP Activity Attendance Monthly Rollup","Job Seeker Id","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Monthly Rollup has Job Seeker Id (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","Activity Referral Id","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","Activity Referral Id","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","Activity Referral Id","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has Activity Referral Id (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","Attendance Month End","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","Attendance Month End","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","Attendance Month End","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has Attendance Month End (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","Attended Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","Attended Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","Attended Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has Attended Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","DNAD Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","DNAD Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","DNAD Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has DNAD Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","DNAI Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","DNAI Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","DNAI Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has DNAI Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","DNAV Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","DNAV Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","DNAV Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has DNAV Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","No Result Entered Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","No Result Entered Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","No Result Entered Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has No Result Entered Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup Pivoted.QVD","Other Hours","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","ESS/CDP Activity Attendance Result Monthly Rollup Pivoted.qvd","Other Hours","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup Pivoted","Other Hours","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup Pivoted has Other Hours (schema loaded)","generator-script"
"01 ESS QVD Builder - CDP","ESS/CDP/CDP Activity Attendance Result Monthly Rollup.QVD","ESS/CDP/Temp/CDP Activity Attendance Result Monthly Rollup.QVD","Activity Referral Id","in-cloud","ESS","CDP Activity Attendance Result Monthly Rollup","ESS/CDP Activity Attendance Result Monthly Rollup.qvd","Activity Referral Id","AzureDbProdNIAADL","ESS","CDP Activity Attendance Result Monthly Rollup","Activity Referral Id","fixtures/DBfixture1.csv","VIEW ESS.CDP Activity Attendance Result Monthly Rollup has Activity Referral Id (schema loaded)","generator-script"
