"rel_path","qvd_name","creator_app","n_consumer_apps","source_object","sql_object_match","load_logic","multi_source","has_rename","verdict","view_schema","view_name","new_path","n_source_columns","n_view_columns","n_columns_dropped","decided_by"
"ESS/ESAM Users.QVD","ESAM Users.QVD","eSAM",NA,"AZDB-AUE-PRD-NIAADL01.ESS.ESAM Users","Exact","Simple",FALSE,TRUE,"needs-creating","","","",29,0,0,"auto"
"RHS/NT Community.qvd","NT Community.qvd","-",NA,"AZDB-AUE-PRD-NIAADL01.pmc.IC_GEO_INFO","Partial match","Missing lineage statement",TRUE,FALSE,"needs-creating","","","",7,0,0,"auto"
"ABS/MB 2021 - RA 2021.qvd","MB 2021 - RA 2021.qvd","Tactical",NA,"AZDB-AUE-PRD-NIAADL01.ASGS.MB 2016 - RA 2016","Likely subset","Simple",FALSE,TRUE,"needs-import","fusionload","grant activity location","",7,0,0,"auto"
"NTLC/NTLC_2026.qvd","NTLC_2026.qvd","Tactical",NA,"AZDB-AUE-PRD-NIAADL01.NIAA.SAL_Centroid","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",14,0,0,"auto"
"NTLC/NTLC.qvd","NTLC.qvd","Tactical",NA,"AZDB-AUE-PRD-NIAADL01.NIAA.SAL_Centroid","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",14,0,0,"auto"
"NIAA/BushTel.qvd","BushTel.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"-","No match","Missing lineage statement",FALSE,FALSE,"unmapped","","","",0,0,0,"auto"
"NIAA/Community Geo.qvd","Community Geo.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"AZDB-AUE-PRD-NIAADL01.ESS.CDP CCRJ Code Table","Partial match","Missing lineage statement",FALSE,FALSE,"needs-creating","","","",9,0,0,"auto"
"NIAA/Community.qvd","Community.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"AZDB-AUE-PRD-NIAADL01.LandRHS.Dwelling","Partial match","Missing lineage statement",FALSE,FALSE,"needs-creating","","","",53,0,0,"auto"
"NIAA/Housing Information.qvd","Housing Information.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"AZDB-AUE-PRD-NIAADL01.ESS.IEP Claim Payments","Partial match","Missing lineage statement",FALSE,FALSE,"needs-creating","","","",20,0,0,"auto"
"NIAA/New Housing Data.qvd","New Housing Data.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"AZDB-AUE-PRD-NIAADL01.FUSION.Case Resolution","Partial match","Missing lineage statement",FALSE,FALSE,"needs-creating","","","",63,0,0,"auto"
"NIAA/Planned Houses.qvd","Planned Houses.qvd","NT Housing POC (with data model)(2)(1) | NT Housing POC (with data model)(Josh's Test)",NA,"AZDB-AUE-PRD-NIAADL01.pmc.IC_GEO_INFO","Partial match","Missing lineage statement",FALSE,FALSE,"needs-creating","","","",7,0,0,"auto"
"ESS/CDP/CDP Appointment.QVD","CDP Appointment.QVD","-",NA,"AZDB-AUE-PRD-NIAADL01.ESS_DEV.CDP Appointment","Exact","Simple",FALSE,TRUE,"needs-creating","","","",7,0,0,"auto"
"ESS/CDP/CDP Job Seeker Diary.QVD","CDP Job Seeker Diary.QVD","-",NA,"AZDB-AUE-PRD-NIAADL01.FUSIONTestETL.a-oauth-json-otm","Likely subset","Missing lineage statement",TRUE,FALSE,"needs-creating","","","",45,0,0,"auto"
"RHS/LGA-SA1.qvd","LGA-SA1.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.RHS.Remote Community","Likely subset","Simple",FALSE,TRUE,"needs-creating","","","",41,0,0,"auto"
"RHS/RATSIB.qvd","RATSIB.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.NNTT.RATSIB_Nat","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",14,0,0,"auto"
"RHS/Remote Community.qvd","Remote Community.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.RHS.Remote Community","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",41,0,0,"auto"
"RHS/RHS Dwelling-RATSIB.qvd","RHS Dwelling-RATSIB.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.NNTT.MB_2021_RATSIB","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",2,0,0,"auto"
"RHS/RHS Dwelling.qvd","RHS Dwelling.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.LandRHS.Dwelling","Partial match","Complex",FALSE,TRUE,"needs-creating","","","",53,0,0,"auto"
"RHS/RHS Funding.qvd","RHS Funding.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.RHS.Funding","Partial match","Simple",FALSE,TRUE,"needs-creating","","","",13,0,0,"auto"
"RHS/SA1-ABS.qvd","SA1-ABS.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.abs.SA1 2016","Partial match","Simple",FALSE,TRUE,"needs-import","nntt","sa1 - native title","",17,0,0,"auto"
"RHS/SA1-Empowered Community.qvd","SA1-Empowered Community.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.FUSION.Fusion Location","Likely subset","Simple",FALSE,TRUE,"needs-creating","","","",13,0,0,"auto"
"RHS/SA1-PMC Region.qvd","SA1-PMC Region.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.FUSION.PMC Region","Partial match","Simple",FALSE,TRUE,"retarget-incomplete","NIAA","Program Tracker","lib://Curated data Store:DataFiles/10 Landing Area/NIAA/Program Tracker.qvd",9,29,6,"auto"
"RHS/State.qvd","State.qvd","RHS QVD Generator",NA,"AZDB-AUE-PRD-NIAADL01.dbo.State","Likely subset","Simple",FALSE,TRUE,"needs-creating","","","",5,0,0,"auto"
"ABS/ATSIP Census Cell Descriptor.qvd","ATSIP Census Cell Descriptor.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP Census Cell Descriptor","Exact","Simple",FALSE,TRUE,"retarget-incomplete","ABSDataPack","ATSIP ILOC Demographic Census Cell Descriptor","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell Descriptor.qvd",33,23,10,"auto"
"ABS/ATSIP ILOC Census Cell 2011-1.qvd","ATSIP ILOC Census Cell 2011-1.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell 2011-2.qvd","ATSIP ILOC Census Cell 2011-2.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell 2011.qvd","ATSIP ILOC Census Cell 2011.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell 2016-1.qvd","ATSIP ILOC Census Cell 2016-1.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell 2016-2.qvd","ATSIP ILOC Census Cell 2016-2.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell 2016.qvd","ATSIP ILOC Census Cell 2016.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Census Cell Descriptor.qvd","ATSIP ILOC Census Cell Descriptor.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP Census Cell Descriptor","Partial match","Complex",FALSE,TRUE,"retarget-incomplete","ABSDataPack","ATSIP ILOC Demographic Census Cell Descriptor","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell Descriptor.qvd",33,23,10,"auto"
"ABS/ATSIP ILOC Census Cell.qvd","ATSIP ILOC Census Cell.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Census Cell","Partial match","Complex",FALSE,TRUE,"retarget","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",5,6,0,"auto"
"ABS/ATSIP ILOC Demographic Census Cell Descriptor.qvd","ATSIP ILOC Demographic Census Cell Descriptor.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Demographic Census Cell Descriptor","Exact","Simple",FALSE,TRUE,"retarget-incomplete","ABSDataPack","ATSIP ILOC Demographic Census Cell","lib://Curated data Store:DataFiles/10 Landing Area/ABSDataPack/ATSIP ILOC Demographic Census Cell.qvd",22,6,21,"auto"
"ABS/ATSIP ILOC Demographic Census Cell.qvd","ATSIP ILOC Demographic Census Cell.qvd","ABS Data Pack QVD Generator V1.3.0",NA,"AZDB-AUE-PRD-NIAADL01.ABSDataPack.ATSIP ILOC Demographic Census Cell","Exact","Simple",FALSE,TRUE,"needs-creating","","","",5,0,0,"auto"
