"RelPath","QvdName","CreatorAppName","CreatorAppId","CreateUtcTime","age_days","n_consumers","consumer_apps","creator_stream","stale_1y","zero_consumers","retired_candidate","joined_consumers_scan"
"ESS/ESAM Users.QVD","ESAM Users.QVD","eSAM","0c924a53-c268-4ccf-9fd0-782404f4b15f","2026-02-12 09:16:33",194,0,"","-",FALSE,TRUE,FALSE,TRUE
"RHS/NT Community.qvd","NT Community.qvd","-","0dc87cfc-ada1-4ff1-ad37-c501971679b3","2018-10-23 05:44:42",2863,0,"",NA,TRUE,TRUE,TRUE,FALSE
"ABS/MB 2021 - RA 2021.qvd","MB 2021 - RA 2021.qvd","Tactical","00ed1a6f-9103-48f1-80d7-7feed3438ea6","2025-04-01 03:18:11",511,0,"","-",TRUE,TRUE,TRUE,TRUE
"NTLC/NTLC_2026.qvd","NTLC_2026.qvd","Tactical","00ed1a6f-9103-48f1-80d7-7feed3438ea6","2026-08-18 07:11:19",7,0,"","-",FALSE,TRUE,FALSE,FALSE
"NTLC/NTLC.qvd","NTLC.qvd","Tactical","00ed1a6f-9103-48f1-80d7-7feed3438ea6","2026-08-18 07:08:30",7,0,"","-",FALSE,TRUE,FALSE,TRUE
"NIAA/BushTel.qvd","BushTel.qvd","NT Housing POC (with data model)(2)(1)","2a01a71e-d4c7-4993-806b-43666de924d8","2026-06-30 00:06:32",56,0,"","-",FALSE,TRUE,FALSE,TRUE
"NIAA/BushTel.qvd","BushTel.qvd","NT Housing POC (with data model)(Josh's Test)","2a01a71e-d4c7-4993-806b-43666de924d8","2026-06-30 00:06:32",56,0,"","-",FALSE,TRUE,FALSE,TRUE
"NIAA/Community Geo.qvd","Community Geo.qvd","NT Housing POC (with data model)(2)(1)","2a01a71e-d4c7-4993-806b-43666de924d8","2026-06-30 00:09:54",56,0,"","-",FALSE,TRUE,FALSE,TRUE
"NIAA/Community Geo.qvd","Community Geo.qvd","NT Housing POC (with data model)(Josh's Test)","2a01a71e-d4c7-4993-806b-43666de924d8","2026-06-30 00:09:54",56,0,"","-",FALSE,TRUE,FALSE,TRUE
"NIAA/Community.qvd","Community.qvd","NT Housing POC (with data model)(2)(1)","2a01a71e-d4c7-4993-806b-43666de924d8","2026-06-30 04:45:53",56,0,"","-",FALSE,TRUE,FALSE,TRUE
