"qvd_path_normalized","n_consumers","status","detail"
"qlikdirs.qvd",8,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"qlikqvdfields.qvd",8,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"qlikqvds.qvd",8,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"migration statistics field.qvd",4,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"migration statistics load.qvd",4,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"migration statistics table.qvd",4,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"ess/raes/application community mapping 202509.qvd",3,"not-attempted-no-structure-info","In the qvdlist inventory but its LineageStatement is empty - Qlik recorded no load structure. No other evidence names its source. Dev: open the producing app directly."
"qlikqvdlineage.qvd",2,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"app.qvd",1,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"appname.qvd",1,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"appobject.qvd",1,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"appstream.qvd",1,"not-attempted-no-structure-info","Outside the qvdlist inventory (stored outside the AzureDataLake tree) and produced by no extracted generator app. Qlik platform/ops metadata family (catalogue tooling) - dev: confirm the producing app before mapping."
"ess/cdp/temp/twes claim.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes commencement history.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes crp.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes esat.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes job seeker.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes jsci.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes site contract.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/cdp/temp/twes transition plan.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/cdp_contract_referral_placement.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/cdp_job_seeker.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_activity.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_activity_contact.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_activity_expenditure.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_claim_payments.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_job_seeker.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_locations.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_outcome.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_placement.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/iep_provider.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"ess/iep/temp/qvd_list.qvd",1,"temp-path-of-mapped-qvd","This is the Temp-stage path of a qvd the map covers under its final path (map column onprem_qvd_temp); its one consumer is the ESS finalisation chain itself. No separate mapping needed."
"geospatial/mb - sa1.qvd",1,"superseded-store","Old store name. The Geospatial generator's MB - SA1 tab now labels this table 'MB 2016 - SA1 2016' and stores it under that name (mapped). Dev: repoint the single consumer to MB 2016 - SA1 2016.qvd."
"grants/njpt activity linking.qvd",1,"not-attempted-no-structure-info","In the qvdlist inventory but its LineageStatement is empty - Qlik recorded no load structure. No other evidence names its source. Dev: open the producing app directly."
